year,gross,popularity,imdb_score,vote_average,genre
1938,34293771,0.5,5.5,4.8,Боевик
1948,90356857,5.3,7.1,7.3,Боевик
1954,269061,39.8,8.7,8.2,Боевик
1962,12196535,30.3,6.4,7.2,Боевик
1963,35550000,27.9,7.6,7.0,Боевик
1964,27300000,43.3,7.9,7.4,Боевик
1965,63600000,31.0,7.0,6.5,Боевик
1966,330249062,9.8,6.9,6.1,Боевик
1967,43100000,28.7,6.9,6.5,Боевик
1968,37553932,49.3,6.7,8.1,Боевик
1970,124841160,19.5,6.3,6.4,Боевик
1971,134607826,23.8,6.0,6.3,Боевик
1972,164864108,17.0,6.0,6.3,Боевик
1973,131807826,19.0,6.1,5.8,Боевик
1974,8326035,30.2,5.5,6.3,Боевик
1975,39985328,67.0,6.2,7.0,Боевик
1976,25000000,12.3,6.8,6.6,Боевик
1977,52466754,12.9,6.8,6.6,Боевик
1978,165624531,24.6,6.7,6.4,Боевик
1979,138578670,45.5,7.0,6.6,Боевик
1980,104891347,38.0,7.2,7.5,Боевик
1981,83511551,23.2,6.9,6.1,Боевик
1982,64822363,22.7,5.6,6.2,Боевик
1983,141685856,29.4,7.1,6.3,Боевик
1984,65300366,30.5,6.1,6.7,Боевик
1985,83175269,12.8,7.0,6.2,Боевик
1986,106608771,30.7,6.0,6.4,Боевик
1987,67844027,21.4,6.1,5.9,Боевик
1988,64295571,22.5,6.7,6.5,Боевик
1989,89075148,21.4,6.8,6.3,Боевик
1990,91586526,27.6,6.7,6.5,Боевик
1991,85940342,19.9,6.1,5.9,Боевик
1992,67637493,28.0,6.4,6.3,Боевик
1993,73733410,17.3,6.4,5.9,Боевик
1994,57001545,16.8,5.9,5.7,Боевик
1995,67501810,23.7,6.1,6.1,Боевик
1996,85556925,22.0,6.3,5.8,Боевик
1997,80097934,24.5,6.0,5.8,Боевик
1998,85597649,21.9,6.5,6.3,Боевик
1999,69602254,22.7,6.1,6.2,Боевик
2000,66056106,18.4,6.2,5.9,Боевик
2001,68997906,19.9,6.1,5.9,Боевик
2002,99957139,28.1,6.1,5.9,Боевик
2003,93069120,38.1,6.4,6.0,Боевик
2004,61581762,29.8,6.4,6.2,Боевик
2005,72686066,27.3,6.1,5.9,Боевик
2006,83337409,31.1,6.3,6.1,Боевик
2007,124396503,33.4,6.4,6.0,Боевик
2008,87942866,37.0,6.4,6.2,Боевик
2009,97754619,31.9,6.3,6.1,Боевик
2010,68219979,34.3,6.2,6.1,Боевик
2011,72434092,36.5,6.2,6.0,Боевик
2012,104556976,44.2,6.6,6.1,Боевик
2013,88362160,40.4,6.4,6.0,Боевик
2014,100905095,71.8,6.3,6.0,Боевик
2015,95626184,93.1,6.5,6.1,Боевик
2016,100277082,64.7,6.5,5.9,Боевик
1938,34293771,0.5,5.5,4.8,Приключения
1939,22202612,67.4,8.1,7.4,Приключения
1948,2956000,0.9,7.1,6.6,Приключения
1953,5000000,2.0,6.7,6.7,Приключения
1954,269061,39.8,8.7,8.2,Приключения
1957,27200000,23.1,8.2,7.7,Приключения
1961,31051126,2.9,6.7,6.8,Приключения
1962,11033517,45.1,7.8,7.4,Приключения
1963,35550000,27.9,7.6,7.0,Приключения
1964,51100000,47.8,7.8,7.2,Приключения
1965,31807436,17.3,6.9,6.4,Приключения
1966,330249062,9.8,6.9,6.1,Приключения
1967,43100000,28.7,6.9,6.5,Приключения
1968,56715371,86.2,8.3,7.9,Приключения
1969,37877959,15.0,7.1,7.6,Приключения
1970,180011740,24.4,5.7,6.2,Приключения
1971,134607826,23.8,6.0,6.3,Приключения
1972,180011740,18.8,5.7,6.1,Приключения
1973,131807826,19.0,6.1,5.8,Приключения
1974,39552600,2.7,6.1,6.1,Приключения
1975,34739561,40.5,5.6,7.3,Приключения
1976,25500305,42.2,5.4,7.0,Приключения
1977,36981270,13.4,6.5,6.7,Приключения
1978,111792859,17.9,6.1,6.1,Приключения
1979,137672646,24.6,7.5,6.4,Приключения
1980,107171155,34.2,7.0,6.7,Приключения
1981,53441973,17.3,6.6,6.3,Приключения
1982,76081660,20.2,6.3,6.4,Приключения
1983,107853759,26.3,7.1,6.6,Приключения
1984,73187069,27.2,6.6,6.5,Приключения
1985,105117873,37.2,7.1,6.6,Приключения
1986,80903897,23.7,5.8,5.9,Приключения
1987,65950198,18.6,6.0,5.5,Приключения
1988,113624636,32.5,6.7,6.5,Приключения
1989,126920850,32.2,6.9,6.4,Приключения
1990,119051955,17.3,6.8,6.7,Приключения
1991,114650222,17.6,6.2,6.0,Приключения
1992,144556219,63.7,7.0,6.5,Приключения
1993,95119393,18.6,6.3,6.1,Приключения
1994,104997243,21.7,6.5,6.1,Приключения
1995,119575857,30.3,6.4,6.4,Приключения
1996,108330589,21.8,6.5,6.0,Приключения
1997,104550870,29.8,6.3,6.0,Приключения
1998,107876223,20.8,6.5,6.0,Приключения
1999,88021365,19.1,6.6,6.3,Приключения
2000,76601234,17.0,6.2,5.9,Приключения
2001,82786991,27.7,6.3,6.1,Приключения
2002,119420517,29.4,6.5,6.1,Приключения
2003,125258205,30.9,6.5,6.1,Приключения
2004,101806375,28.0,6.6,6.2,Приключения
2005,98385177,30.5,6.3,6.0,Приключения
2006,91792323,32.6,6.4,6.1,Приключения
2007,162292916,39.9,6.8,6.1,Приключения
2008,112876893,33.0,6.4,6.0,Приключения
2009,137649323,40.4,6.6,6.3,Приключения
2010,149091879,42.7,6.7,6.1,Приключения
2011,114685797,38.0,6.5,6.2,Приключения
2012,162799816,54.5,6.9,6.2,Приключения
2013,142877002,46.2,6.7,6.2,Приключения
2014,139446663,87.5,6.8,6.2,Приключения
2015,125121967,75.5,6.8,6.2,Приключения
2016,149681233,75.8,6.8,5.9,Приключения
2017,292979556,0.7,8.3,7.4,Приключения
1937,184925485,80.2,7.7,6.9,Анимация
1940,72403614,39.4,7.4,7.0,Анимация
1942,102797150,47.7,7.4,6.8,Анимация
1961,31051126,2.9,6.7,6.8,Анимация
1976,26000610,72.2,4.1,7.5,Анимация
1986,198332128,67.7,6.5,7.7,Анимация
1987,237282182,6.9,7.2,6.7,Анимация
1988,90339906,29.6,7.8,7.2,Анимация
1990,177343675,2.2,6.7,7.1,Анимация
1992,187345311,84.4,7.0,6.6,Анимация
1993,669276,2.4,7.2,6.8,Анимация
1994,422783777,90.5,8.5,8.0,Анимация
1995,217723104,26.7,7.0,6.7,Анимация
1996,126182379,21.4,7.2,6.1,Анимация
1997,21386256,36.8,7.5,7.6,Анимация
1998,123691576,17.2,6.9,6.0,Анимация
1999,131451839,26.5,7.2,6.5,Анимация
2000,84787710,17.5,6.6,6.0,Анимация
2001,91254296,36.1,6.7,6.5,Анимация
2002,105018446,28.5,6.5,6.4,Анимация
2003,91356837,27.2,6.8,6.6,Анимация
2004,135865750,24.4,6.8,6.2,Анимация
2005,84792260,27.7,6.3,6.3,Анимация
2006,119863817,25.7,6.4,5.9,Анимация
2007,145399587,30.2,7.0,6.1,Анимация
2008,126242164,22.4,6.8,6.2,Анимация
2009,118546873,39.4,6.9,6.6,Анимация
2010,224329714,41.5,7.3,6.2,Анимация
2011,140203275,22.7,6.4,6.0,Анимация
2012,173294557,44.1,7.3,6.5,Анимация
2013,159739623,40.7,6.6,6.2,Анимация
2014,156939767,49.9,7.1,6.8,Анимация
2015,155625905,107.5,6.7,6.5,Анимация
2016,205756255,33.6,7.2,6.0,Анимация
2017,292979556,0.7,8.3,7.4,Анимация
1938,34293771,0.5,5.5,4.8,Биография
1962,6000000,41.3,8.4,7.8,Биография
1963,57750000,13.2,7.0,6.7,Биография
